wavelength_nm,measured_norm,nist_synth_norm
227.93971300,5.68292722e-02,1.44034386e-01
227.95565800,4.37898981e-02,1.29318571e-01
227.97161900,2.68787098e-02,1.13301214e-01
227.98756400,1.59832328e-02,9.68952115e-02
228.00352500,1.83351199e-02,8.08588989e-02
228.01948500,2.75506776e-02,6.58536524e-02
228.03543100,2.60947475e-02,5.23535300e-02
228.05139200,3.15664848e-02,4.06110240e-02
228.06732200,3.91341216e-02,3.07615040e-02
228.08328200,4.84296754e-02,2.27287683e-02
228.09922800,6.75167592e-02,1.63943960e-02
228.11518900,8.35959874e-02,1.15373801e-02
228.13114900,1.04250996e-01,7.92411207e-03
228.14709500,1.03563029e-01,5.31342573e-03
228.16305500,1.08042814e-01,3.47599015e-03
228.17900100,1.04538982e-01,2.22024142e-03
228.19494600,1.08938771e-01,1.38435345e-03
228.21087600,1.05418940e-01,8.43325601e-04
228.22683700,1.03883014e-01,5.01933372e-04
228.24278300,1.18618306e-01,2.93809702e-04
228.25874300,1.26329936e-01,1.71970644e-04
228.27468900,1.11322657e-01,1.06405227e-04
228.29064900,7.27325088e-02,7.91963257e-05
228.30661000,6.41889189e-02,8.23984600e-05
228.32255600,8.01081548e-02,1.16329879e-04
228.33850100,1.15482457e-01,1.89555419e-04
228.35444600,1.10634690e-01,3.19915423e-04
228.37040700,8.81717678e-02,5.36902063e-04
228.38635300,8.41399613e-02,8.83742166e-04
228.40231300,9.46034590e-02,1.42268655e-03
228.41825900,1.15386461e-01,2.23576441e-03
228.43421900,1.36697439e-01,3.43156328e-03
228.45016500,1.24394029e-01,5.13978890e-03
228.46612500,9.52274291e-02,7.51769954e-03
228.48205600,6.59488345e-02,1.07270346e-02
228.49801600,4.63017775e-02,1.49517815e-02
228.51396200,4.45738605e-02,2.03387482e-02
228.52992200,4.30539334e-02,2.70154562e-02
228.54586800,4.80136953e-02,3.50224823e-02
228.56182900,3.47983297e-02,4.43344161e-02
228.57777400,3.00145593e-02,5.47784621e-02
228.59373500,3.24144441e-02,6.60933519e-02
228.60965000,4.93576308e-02,7.78265056e-02
228.62561000,4.10700286e-02,8.95307054e-02
228.64155600,2.72626914e-02,1.00578868e-01
228.65751600,3.35183911e-02,1.10389741e-01
228.67346200,4.70697407e-02,1.18394742e-01
228.68942300,6.77407484e-02,1.24172374e-01
228.70536800,6.59968322e-02,1.27453118e-01
228.72132900,6.13250564e-02,1.28206353e-01
228.73727400,4.99176040e-02,1.26635275e-01
228.75322000,3.79021807e-02,1.23179695e-01
228.76916500,3.29904165e-02,1.18474165e-01
228.78511000,2.50547974e-02,1.13285495e-01
228.80107100,3.27824264e-02,1.08427349e-01
228.81701700,3.68782298e-02,1.04688303e-01
228.83297700,3.97100939e-02,1.02712331e-01
228.84892300,2.92465962e-02,1.02947121e-01
228.86488300,3.95341024e-02,1.05576217e-01
228.88081400,3.79501784e-02,1.10483887e-01
228.89677400,3.37903781e-02,1.17298849e-01
228.91272000,4.19819849e-02,1.25370074e-01
228.92868000,4.87656592e-02,1.33894371e-01
228.94462600,7.02846263e-02,1.41946793e-01
228.96057100,9.00116794e-02,1.48630450e-01
228.97651700,9.52114299e-02,1.53146244e-01
228.99246200,9.40114874e-02,1.54883700e-01
229.00842300,1.02107099e-01,1.53482885e-01
229.02435300,1.09930723e-01,1.48879420e-01
229.04031400,1.12186615e-01,1.41264238e-01
229.05625900,1.21530167e-01,1.31110594e-01
229.07222000,1.49224837e-01,1.19039152e-01
229.08816500,1.68871894e-01,1.05821505e-01
229.10411100,1.90182871e-01,9.22167879e-02
229.12007100,2.18117530e-01,7.89339151e-02
229.13601700,2.55779723e-01,6.66026141e-02
229.15196200,2.76898709e-01,5.56632296e-02
229.16790800,2.87826184e-01,4.63931202e-02
229.18386800,2.91745996e-01,3.88953988e-02
229.19981400,3.13376958e-01,3.31399557e-02
229.21575900,2.98177687e-01,2.89559686e-02
229.23172000,2.92577956e-01,2.60939581e-02
229.24766500,3.02481481e-01,2.42682743e-02
229.26361100,3.40431659e-01,2.31764169e-02
229.27955600,3.51759116e-01,2.25435781e-02
229.29548600,3.29376190e-01,2.21448571e-02
229.31144700,2.92801946e-01,2.18231654e-02
229.32739300,2.57571637e-01,2.15052640e-02
229.34335300,2.35940675e-01,2.12053293e-02
229.35929900,2.15989632e-01,2.10296468e-02
229.37524400,1.95094635e-01,2.11720837e-02
229.39120500,2.08901973e-01,2.19099055e-02
229.40715000,2.24741212e-01,2.35897493e-02
