wavelength_nm,measured_norm,nist_synth_norm
228.29064900,3.95275741e-03,8.59085080e-02
228.30661000,7.11496333e-03,8.86582679e-02
228.32255600,1.38489380e-02,9.07336341e-02
228.33850100,1.63825126e-02,9.19547103e-02
228.35444600,1.68111249e-02,9.21860105e-02
228.37040700,1.31060101e-02,9.13472953e-02
228.38635300,7.29593295e-03,8.94234912e-02
228.40231300,4.45756739e-03,8.64579062e-02
228.41825900,6.62920278e-03,8.25622841e-02
228.43421900,2.73359368e-03,7.78893597e-02
228.45016500,2.89551386e-03,7.26497117e-02
228.46612500,4.68616059e-03,6.70681345e-02
228.48205600,5.01000095e-03,6.14123516e-02
228.49801600,4.07657872e-03,5.59211889e-02
228.51396200,4.45756739e-03,5.08642227e-02
228.52992200,2.47642633e-03,4.64727320e-02
228.54586800,4.98142680e-03,4.29710496e-02
228.56182900,5.82912658e-03,4.05394743e-02
228.57777400,3.60986761e-03,3.93328952e-02
228.59373500,1.93351748e-03,3.94583916e-02
228.60965000,3.71463949e-03,4.09757669e-02
228.62561000,0.00000000e+00,4.39090077e-02
228.64155600,5.10524812e-03,4.82147588e-02
228.65751600,4.06705401e-03,5.38091485e-02
228.67346200,2.40975331e-03,6.05348986e-02
228.68942300,2.56214878e-03,6.82008209e-02
228.70536800,3.22887894e-03,7.65357109e-02
228.72132900,5.30526717e-03,8.52526660e-02
228.73727400,5.03857510e-03,9.39935807e-02
228.75322000,4.45756739e-03,1.02403204e-01
228.76916500,2.50500048e-03,1.10108894e-01
228.78511000,7.61977331e-05,1.16751891e-01
228.80107100,5.80055243e-03,1.22010495e-01
228.81701700,3.12410706e-03,1.25601684e-01
228.83297700,5.17192114e-03,1.27331550e-01
228.84892300,4.73378417e-03,1.27083543e-01
228.86488300,5.77197828e-03,1.24839503e-01
228.88081400,1.31631584e-02,1.20688538e-01
228.89677400,1.26678731e-02,1.14789291e-01
228.91272000,1.13534622e-02,1.07410536e-01
228.92868000,7.38165540e-03,9.88594588e-02
228.94462600,6.41013430e-03,8.95136619e-02
228.96057100,7.54357558e-03,7.97481347e-02
228.97651700,5.68625583e-03,6.99383280e-02
228.99246200,4.77188304e-03,6.04355382e-02
229.00842300,5.03857510e-03,5.15357797e-02
229.02435300,5.14334699e-03,4.35108081e-02
229.04031400,8.37222593e-03,3.65093709e-02
229.05625900,1.15534813e-02,3.06633310e-02
229.07222000,1.08962758e-02,2.60024548e-02
229.08816500,7.08638918e-03,2.25148337e-02
229.10411100,9.21992571e-03,2.01198866e-02
229.12007100,1.15439566e-02,1.86985064e-02
229.13601700,1.35917706e-02,1.81029086e-02
229.15196200,1.05343366e-02,1.81614091e-02
229.16790800,4.48614154e-03,1.86955431e-02
229.18386800,2.96218687e-03,1.95296165e-02
229.19981400,4.60996285e-03,2.04966791e-02
229.21575900,6.41013430e-03,2.14508289e-02
229.23172000,3.71463949e-03,2.22714189e-02
229.24766500,4.33374607e-03,2.28647545e-02
229.26361100,9.06753024e-03,2.31718769e-02
229.27955600,1.99733308e-02,2.31657595e-02
229.29548600,2.45451948e-02,2.28517470e-02
229.31144700,2.51547766e-02,2.22624759e-02
229.32739300,2.36403467e-02,2.14579567e-02
229.34335300,2.62120202e-02,2.05145921e-02
229.35929900,2.47166397e-02,1.95240661e-02
229.37524400,1.71063911e-02,1.85805753e-02
229.39120500,2.35355748e-02,1.77758118e-02
229.40715000,2.43642252e-02,1.71944911e-02
229.42309600,1.76397752e-02,1.69032274e-02
229.43904100,1.47823602e-02,1.69492958e-02
229.45498700,7.45785313e-03,1.73565501e-02
229.47094700,6.69587580e-03,1.81250250e-02
229.48689300,8.53414611e-03,1.92285656e-02
229.50285300,7.84836651e-03,2.06227574e-02
229.51879900,6.78159825e-03,2.22414830e-02
229.53472900,6.90541956e-03,2.40083826e-02
229.55067400,8.05791028e-03,2.58453958e-02
229.56662000,8.60081913e-03,2.76698483e-02
229.58256500,6.89589485e-03,2.94066244e-02
229.59852600,6.17201638e-03,3.09938149e-02
229.61447100,5.73387942e-03,3.23798115e-02
229.63043200,1.59062768e-03,3.35362798e-02
229.64637800,4.06705401e-03,3.44477546e-02
229.66232300,9.96285361e-03,3.51190102e-02
229.67828400,1.22583103e-02,3.55684425e-02
229.69421400,1.36203448e-02,3.58239919e-02
229.71015900,2.00971521e-02,3.59227325e-02
229.72612000,2.89932375e-02,3.59034476e-02
229.74206500,2.35831984e-02,3.58048580e-02
229.75801100,1.17535003e-02,3.56621031e-02
229.77395600,6.08629393e-03,3.55045804e-02
229.78990200,5.96247262e-03,3.53545491e-02
229.80584700,4.53376512e-03,3.52266037e-02
229.82179300,8.52462139e-03,3.51276259e-02
229.83773800,4.28612249e-03,3.50573164e-02
229.85368300,5.38146490e-03,3.50089023e-02
229.86964400,6.19106582e-03,3.49700475e-02
229.88559000,5.64815697e-03,3.49240095e-02
229.90153500,4.12420230e-03,3.48505635e-02
229.91749600,7.61024860e-03,3.47272058e-02
229.93344100,1.40108582e-02,3.45310178e-02
229.94938700,1.24869035e-02,3.42394116e-02
229.96533200,7.19116106e-03,3.38321800e-02
229.98127700,7.27688351e-03,3.32928352e-02
229.99720800,4.00038099e-03,3.26107450e-02
230.01316800,8.43889894e-03,3.17788805e-02
230.02911400,8.57224498e-03,3.08013687e-02
230.04505900,1.15725307e-02,2.96870880e-02
230.06102000,1.14868083e-02,2.84513425e-02
230.07696500,6.61967806e-03,2.71198396e-02
230.09289600,6.43870845e-03,2.57214224e-02
230.10884100,7.48642728e-03,2.42867061e-02
