wavelength_nm,strength
230.32075000,1.19000000e+07
230.38427200,1.80000000e+08
230.40649000,2.08000000e+08
230.47353200,1.10000000e+08
230.49048400,2.72000000e+08
230.59673000,1.80000000e+08
230.63698700,1.76000000e+08
230.64501200,1.96000000e+08
230.66690800,1.14000000e+09
230.73129500,2.04000000e+09
230.77200000,2.10000000e+08
230.79186000,1.56000000e+08
230.82958700,8.88000000e+08
230.87676000,1.35200000e+09
230.89303000,2.50000000e+08
230.94691400,7.56000000e+08
230.95531300,1.54000000e+08
231.01657700,4.96000000e+08
231.02596400,3.20000000e+08
231.12248200,9.60000000e+07
231.12872400,6.04000000e+08
231.12892000,9.36000000e+08
231.21921400,2.80000000e+08
231.23150000,4.80000000e+08
231.23984400,1.08000000e+08
231.26112600,7.08000000e+08
231.26523000,7.28000000e+08
231.31041300,8.26000000e+07
231.32616600,1.64000000e+08
231.33005300,1.08000000e+08
231.39403900,1.05000000e+09
231.40562000,1.32000000e+08
231.46133600,2.30000000e+08
231.55353500,3.96000000e+08
231.57293200,1.44000000e+09
231.57804500,2.76000000e+08
231.58251900,3.06000000e+08
231.65122500,6.16000000e+08
231.69114000,4.40000000e+08
231.70054900,2.40000000e+08
231.70240100,1.80000000e+08
231.70603500,1.30000000e+08
231.73511900,1.87200000e+09
231.75956500,3.06000000e+08
231.81501600,2.56000000e+08
231.83183800,4.20000000e+08
231.90079900,2.64000000e+08
231.92360000,1.20000000e+08
231.94562800,5.74000000e+08
231.94660000,7.20000000e+07
231.96896100,3.60000000e+08
231.98117600,2.46000000e+08
232.00347700,1.42000000e+09
232.01588400,4.08000000e+08
232.03575200,1.26900000e+08
232.04049200,1.62000000e+08
232.12429100,4.08000000e+08
232.12933100,1.76000000e+08
232.14939100,2.96000000e+08
232.16894200,1.00000000e+08
232.17555300,1.55000000e+09
232.22688100,2.70000000e+08
232.26630400,3.04000000e+08
232.29410200,3.22000000e+09
232.32705100,2.40000000e+08
232.37930000,2.40000000e+07
232.40820500,2.24000000e+08
232.45790600,1.60000000e+08
232.48158000,3.24000000e+08
232.50316100,2.70000000e+08
232.50355600,1.17600000e+09
232.52931700,1.86200000e+09
232.57147800,4.46400000e+09
232.58090600,1.60000000e+08
232.58311700,1.68000000e+08
232.62211500,3.74400000e+09
232.63607000,9.28000000e+08
232.67694400,1.71200000e+09
232.68102200,2.64000000e+09
232.69380000,9.00000000e+07
232.73954100,2.64000000e+08
232.74892300,2.72000000e+08
232.76130100,5.58000000e+08
232.76740000,2.20000000e+07
232.78751000,6.02000000e+09
232.78760700,1.29600000e+09
232.79608100,7.08000000e+07
232.85398100,4.48000000e+08
232.87482200,9.92000000e+08
232.93381500,9.70000000e+08
232.93619000,1.04800000e+09
232.95209700,7.68000000e+08
232.97029100,1.84000000e+08
232.99250000,6.60000000e+07
232.99921300,3.24000000e+09
233.06713600,3.04000000e+08
233.10554600,1.06200000e+09
233.11124300,2.51000000e+09
233.13080900,2.53600000e+08
233.15200000,9.00000000e+06
233.15580000,2.17000000e+07
233.15447900,3.36000000e+08
233.19744400,6.72000000e+09
233.20762800,2.10000000e+08
233.22410400,2.92800000e+09
233.27987400,7.86000000e+08
233.32320300,4.70000000e+08
233.34658000,3.52000000e+08
233.37081400,9.12000000e+08
233.37827000,8.08000000e+08
233.39519000,4.30000000e+08
233.41228600,2.19200000e+09
233.43208300,2.46000000e+08
233.44787100,2.22000000e+08
233.47273400,2.64000000e+08
233.47527500,2.04000000e+08
233.49379600,1.70000000e+08
233.50250100,2.16000000e+08
233.51080800,1.80000000e+08
233.57018300,1.38400000e+09
233.62982300,4.24000000e+08
233.65292900,1.70000000e+08
233.68235300,3.71000000e+09
233.72520700,1.60000000e+08
233.73782000,1.82000000e+08
233.74342800,8.20000000e+08
233.75238700,4.38000000e+08
233.76545700,4.24000000e+08
233.77607400,1.45200000e+09
233.79590500,2.08000000e+08
233.80065500,4.52000000e+08
233.89193300,2.50000000e+08
233.89750000,2.10000000e+08
233.94076500,7.20000000e+07
233.98823700,2.25000000e+09
234.03555000,1.18000000e+08
234.04624600,9.60000000e+07
234.05949000,3.48000000e+08
234.11746600,2.54400000e+09
234.14522600,2.70000000e+09
234.16482400,2.17200000e+09
234.17760500,2.34000000e+08
234.18023900,3.60000000e+08
234.23079900,1.37000000e+09
234.27703800,2.48000000e+08
234.28880600,8.08000000e+08
234.33074400,5.40000000e+09
234.34948100,1.38400000e+09
234.39607700,1.87800000e+08
234.39979300,2.00000000e+08
234.41545900,2.73000000e+09
234.42812800,3.70800000e+08
234.44630800,2.04000000e+08
234.46028000,1.12000000e+09
234.49842400,2.67200000e+09
234.53369300,8.76000000e+08
234.53641000,2.32000000e+08
234.59271200,1.60000000e+08
234.59582900,2.52000000e+08
234.62687400,8.40000000e+07
234.62952800,5.16000000e+08
234.63541000,2.56000000e+09
234.66166200,4.30800000e+09
234.66811800,2.04000000e+09
234.71328500,5.92000000e+08
234.74111900,6.72000000e+08
234.74669300,4.20000000e+08
234.77786000,1.68000000e+08
234.81156100,5.20000000e+08
234.81462900,5.10000000e+08
234.83021500,6.90000000e+08
234.86743400,3.24000000e+08
234.92688300,4.62000000e+09
235.00163100,9.60000000e+08
235.01781200,7.72000000e+08
235.02466500,1.91400000e+09
235.05175100,2.43200000e+09
235.12007100,7.20000000e+08
235.16667300,1.08000000e+09
235.18020000,2.88000000e+08
235.19567500,2.96000000e+08
235.19997500,4.86000000e+08
235.23091000,1.76000000e+09
235.26120000,3.00000000e+07
235.30235500,6.48000000e+08
235.34696300,7.00000000e+09
235.36076600,8.96000000e+08
235.36784000,1.04000000e+09
235.38260000,6.30000000e+07
235.43735400,1.21200000e+09
235.44291600,2.00000000e+08
235.44775800,6.48000000e+08
235.48898000,1.06800000e+08
235.52158000,1.92000000e+08
235.53502300,2.70000000e+09
235.54621300,1.62000000e+08
235.57783800,4.90000000e+08
235.58382300,1.88000000e+08
235.58809200,3.60000000e+08
235.59284000,2.08000000e+08
235.65886100,1.88000000e+08
235.67870800,1.68000000e+08
235.68756500,2.16000000e+08
235.70031200,7.68000000e+08
235.70484900,9.20000000e+08
235.72686600,5.12000000e+08
235.78535400,6.16000000e+08
235.85161700,9.60000000e+08
235.88012900,2.34000000e+08
235.89528100,1.12000000e+09
235.90245000,2.80000000e+08
235.91051900,3.00000000e+08
235.91320900,7.32000000e+08
235.91517300,2.14800000e+09
235.95956200,2.30000000e+08
235.99051700,8.50000000e+08
235.99441200,1.62000000e+08
235.99993900,3.59000000e+08
236.00539900,1.66400000e+09
236.02942300,3.72000000e+08
236.04101500,2.61600000e+09
236.05109800,6.40000000e+09
236.05310200,1.77600000e+08
236.10093700,1.10400000e+09
236.11115300,3.40000000e+08
236.12683700,6.52000000e+08
236.17248400,1.92000000e+08
236.20213800,1.12800000e+08
236.24030000,5.60000000e+07
236.25357500,4.80000000e+08
236.26976400,3.24000000e+08
236.30953800,1.30200000e+09
236.31200700,2.72000000e+08
236.32960000,6.30000000e+08
236.35002900,1.13400000e+10
236.38105600,2.40000000e+08
236.38608800,5.30000000e+09
236.38781600,9.00000000e+07
236.43106500,2.20000000e+08
236.47099400,1.28800000e+09
236.48278500,4.72000000e+08
236.49076500,7.20000000e+08
236.50206700,1.00800000e+09
236.50497100,1.40000000e+08
236.52432200,1.70000000e+08
236.52935400,1.50000000e+09
236.53203500,1.33800000e+09
236.57623900,1.29600000e+09
236.57660000,5.70000000e+09
236.63185800,1.64000000e+08
236.63212200,2.22000000e+08
236.64292800,9.52000000e+08
236.65934800,6.06000000e+07
236.68881800,6.90000000e+08
236.80571500,1.12000000e+08
236.83806600,2.90000000e+08
236.85959900,2.42400000e+08
